DISTRICT,DA311TA09R,DA311TA10R,DA311TC09R,DA311TC10R,DA311TM09R,DA311TM10R,DA311TR09R,DA311TR10R,DA311TS09R,DA311TS10R,DA311TW09R,DA311TW10R,DB311TA09R,DB311TA10R,DB311TC09R,DB311TC10R,DB311TM09R,DB311TM10R,DB311TR09R,DB311TR10R,DB311TS09R,DB311TS10R,DB311TW09R,DB311TW10R,DE311TA09R,DE311TA10R,DE311TC09R,DE311TC10R,DE311TM09R,DE311TM10R,DE311TR09R,DE311TR10R,DE311TS09R,DE311TS10R,DE311TW09R,DE311TW10R,DF311TA09R,DF311TA10R,DF311TC09R,DF311TC10R,DF311TM09R,DF311TM10R,DF311TR09R,DF311TR10R,DF311TS09R,DF311TS10R,DF311TW09R,DF311TW10R,DH311TA09R,DH311TA10R,DH311TC09R,DH311TC10R,DH311TM09R,DH311TM10R,DH311TR09R,DH311TR10R,DH311TS09R,DH311TS10R,DH311TW09R,DH311TW10R,DI311TA09R,DI311TA10R,DI311TC09R,DI311TC10R,DI311TM09R,DI311TM10R,DI311TR09R,DI311TR10R,DI311TS09R,DI311TS10R,DI311TW09R,DI311TW10R,DL311TA09R,DL311TA10R,DL311TC09R,DL311TC10R,DL311TM09R,DL311TM10R,DL311TR09R,DL311TR10R,DL311TS09R,DL311TS10R,DL311TW09R,DL311TW10R,DM311TA09R,DM311TA10R,DM311TC09R,DM311TC10R,DM311TM09R,DM311TM10R,DM311TR09R,DM311TR10R,DM311TS09R,DM311TS10R,DM311TW09R,DM311TW10R,DP311TA09R,DP311TA10R,DP311TC09R,DP311TC10R,DP311TM09R,DP311TM10R,DP311TR09R,DP311TR10R,DP311TS09R,DP311TS10R,DP311TW09R,DP311TW10R,DR311TA09R,DR311TA10R,DR311TC09R,DR311TC10R,DR311TM09R,DR311TM10R,DR311TR09R,DR311TR10R,DR311TS09R,DR311TS10R,DR311TW09R,DR311TW10R,DS311TA09R,DS311TA10R,DS311TC09R,DS311TC10R,DS311TM09R,DS311TM10R,DS311TR09R,DS311TR10R,DS311TS09R,DS311TS10R,DS311TW09R,DS311TW10R,DW311TA09R,DW311TA10R,DW311TC09R,DW311TC10R,DW311TM09R,DW311TM10R,DW311TR09R,DW311TR10R,DW311TS09R,DW311TS10R,DW311TW09R,DW311TW10R
"007901",48,56,57,72,59,72,72,76,72,86,90,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,54,54,71,56,69,69,75,65,88,89,91,50,59,65,69,59,75,77,77,77,87,89,95,45,54,53,70,58,71,68,74,68,84,88,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,16,13,50,47,63,28,29,-1,-1,80,-1,46,54,52,75,59,69,68,75,69,85,91,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,38,42,63,43,57,60,64,60,84,84,86,4,31,-3,60,13,58,18,44,17,-1,-1,-1,63,70,77,85,65,77,96,91,90,94,-4,90
"007902",75,76,81,83,81,83,90,91,88,90,94,98,-1,71,-1,-1,-1,71,-1,86,-1,-1,-1,-1,69,68,75,76,76,78,87,88,84,88,91,98,77,79,82,80,83,87,92,92,86,91,96,-4,68,70,76,76,77,78,88,89,87,86,91,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,45,-1,-1,60,64,60,56,-1,-1,-1,-1,72,72,81,85,78,79,88,89,91,90,90,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,51,64,63,61,65,77,78,76,80,85,98,38,35,29,32,55,49,45,47,29,53,-4,-4,84,85,90,93,86,90,94,94,90,98,99,99
"007904",61,66,68,79,71,75,85,86,91,96,84,92,71,70,-1,-1,86,80,86,80,-1,-1,-1,-1,54,59,61,72,66,70,83,82,89,94,81,91,63,67,69,76,74,76,88,88,91,97,86,94,58,62,65,75,69,72,84,84,90,95,83,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,53,35,56,48,72,57,69,67,73,60,70,59,65,68,82,69,73,83,84,91,96,82,89,-1,83,-1,-1,-1,83,-1,83,-1,-1,-1,-1,40,47,55,66,53,62,76,77,88,93,75,86,24,35,31,67,35,46,60,49,55,83,-1,73,71,78,81,89,78,84,90,92,96,-4,86,92
"007905",70,76,77,80,79,84,86,90,91,90,91,94,86,60,80,-1,86,60,86,-4,-1,-1,-1,-1,60,69,69,73,74,80,80,86,86,86,85,92,72,78,74,78,81,86,89,93,90,90,97,97,64,70,70,75,76,80,82,87,88,86,88,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,61,38,90,76,82,60,68,-4,-1,75,90,68,73,80,81,78,83,83,86,91,89,84,89,67,86,80,-1,-4,-4,83,86,-1,-1,-1,-1,46,50,55,57,63,66,72,76,81,78,82,87,19,26,30,40,38,46,40,48,57,64,32,83,82,88,90,90,87,93,93,95,95,97,95,96
"007906",59,63,65,69,73,76,82,86,86,88,84,85,83,57,-1,-1,-4,86,83,71,-1,-1,-1,-1,55,59,60,65,70,73,79,85,84,85,83,82,60,65,63,64,74,77,83,89,83,90,89,93,56,59,61,67,71,73,80,85,85,86,83,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,33,12,20,30,70,37,54,36,78,50,85,59,61,67,74,72,74,80,84,90,86,80,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,45,50,55,59,62,73,80,82,82,74,72,16,27,50,29,37,46,36,68,53,69,29,13,80,83,82,85,88,89,93,94,95,96,93,94
"008901",82,83,87,88,89,90,93,94,95,95,95,97,64,69,71,74,78,81,85,90,89,92,92,91,71,74,77,79,83,85,88,89,90,91,91,95,82,83,84,86,90,89,95,95,94,96,94,-4,75,75,81,76,84,87,88,87,94,89,96,97,-1,80,-1,80,-1,-4,-1,-4,-1,-4,-1,-1,64,64,43,57,83,84,81,77,67,75,89,96,82,84,90,91,87,90,92,92,95,95,96,94,-4,86,-1,-1,-4,86,-4,-4,-1,-1,-1,-1,55,62,68,72,70,76,82,83,87,89,87,94,37,42,55,61,55,54,62,65,71,72,69,80,87,89,91,95,92,92,97,96,96,98,95,98
"008902",73,76,81,86,81,83,88,89,96,97,92,91,55,52,65,71,69,62,79,81,86,92,80,87,63,66,73,79,74,76,81,84,94,95,86,88,73,76,78,82,79,82,89,91,94,97,95,93,67,73,75,83,76,81,85,87,96,97,92,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,44,48,64,53,64,61,55,75,81,86,77,74,75,85,89,83,83,87,88,98,97,88,90,80,-4,-1,-4,80,-4,-1,-4,-1,-1,-1,-1,48,49,59,68,60,63,76,76,91,94,82,79,33,37,55,51,52,48,61,63,86,87,64,47,83,85,90,92,88,89,93,93,98,99,94,91
"008903",80,82,84,91,86,86,92,94,95,99,93,94,58,71,61,86,65,71,86,94,89,-4,-4,-4,73,74,72,85,78,80,89,92,93,-4,93,94,80,81,82,91,87,86,92,94,93,99,94,97,82,80,82,91,88,85,92,91,91,97,92,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,55,50,71,75,71,75,71,-1,-1,78,88,80,83,86,90,85,87,92,93,97,99,92,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,60,67,76,65,69,81,85,86,95,85,89,33,41,25,58,51,52,56,70,64,71,71,83,85,87,92,92,90,91,94,96,99,-4,92,92
"009901",68,74,73,77,83,85,83,89,89,91,96,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,70,66,72,80,83,79,86,87,89,95,92,69,76,73,72,82,86,84,91,86,91,98,98,62,70,66,72,79,83,79,86,86,89,94,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,55,36,43,60,74,54,70,61,64,77,79,66,73,73,82,83,85,81,86,92,90,94,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,54,57,53,70,73,70,79,81,82,90,87,47,47,48,29,69,73,67,65,84,71,-4,77,87,90,94,95,93,93,95,98,97,98,-4,95
"010901",81,84,80,91,89,90,97,94,99,-4,97,-4,67,-1,-1,-1,60,-1,-4,-1,-1,-1,-1,-1,75,81,75,92,84,88,99,92,97,-4,94,-4,80,89,74,89,88,93,98,99,97,-4,95,-4,86,71,83,93,93,81,-4,86,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,79,88,93,90,88,96,88,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,65,64,83,81,80,94,85,97,-4,-4,-4,61,59,62,58,78,80,95,78,92,-4,80,-1,81,88,80,90,90,93,96,97,98,-4,97,-4
