DISTRICT,DA311CA12R,DA311CC12R,DA311CM12R,DA311CR12R,DA311CS12R,DA311TA12R,DA311TC12R,DA311TM12R,DA311TR12R,DA311TS12R,DB311CA12R,DB311CC12R,DB311CM12R,DB311CR12R,DB311CS12R,DB311TA12R,DB311TC12R,DB311TM12R,DB311TR12R,DB311TS12R,DE311CA12R,DE311CC12R,DE311CM12R,DE311CR12R,DE311CS12R,DE311TA12R,DE311TC12R,DE311TM12R,DE311TR12R,DE311TS12R,DF311CA12R,DF311CC12R,DF311CM12R,DF311CR12R,DF311CS12R,DF311TA12R,DF311TC12R,DF311TM12R,DF311TR12R,DF311TS12R,DH311CA12R,DH311CC12R,DH311CM12R,DH311CR12R,DH311CS12R,DH311TA12R,DH311TC12R,DH311TM12R,DH311TR12R,DH311TS12R,DI311CA12R,DI311CC12R,DI311CM12R,DI311CR12R,DI311CS12R,DI311TA12R,DI311TC12R,DI311TM12R,DI311TR12R,DI311TS12R,DL311CA12R,DL311CC12R,DL311CM12R,DL311CR12R,DL311CS12R,DL311TA12R,DL311TC12R,DL311TM12R,DL311TR12R,DL311TS12R,DM311CA12R,DM311CC12R,DM311CM12R,DM311CR12R,DM311CS12R,DM311TA12R,DM311TC12R,DM311TM12R,DM311TR12R,DM311TS12R,DR311CA12R,DR311CC12R,DR311CM12R,DR311CR12R,DR311CS12R,DR311TA12R,DR311TC12R,DR311TM12R,DR311TR12R,DR311TS12R,DS311CA12R,DS311CC12R,DS311CM12R,DS311CR12R,DS311CS12R,DS311TA12R,DS311TC12R,DS311TM12R,DS311TR12R,DS311TS12R,DW311CA12R,DW311CC12R,DW311CM12R,DW311CR12R,DW311CS12R,DW311TA12R,DW311TC12R,DW311TM12R,DW311TR12R,DW311TS12R,D2311CA12R,D2311CC12R,D2311CM12R,D2311CR12R,D2311CS12R,D2311TA12R,D2311TC12R,D2311TM12R,D2311TR12R,D2311TS12R,D3311CA12R,D3311CC12R,D3311CM12R,D3311CR12R,D3311CS12R,D3311TA12R,D3311TC12R,D3311TM12R,D3311TR12R,D3311TS12R,D4311CA12R,D4311CC12R,D4311CM12R,D4311CR12R,D4311CS12R,D4311TA12R,D4311TC12R,D4311TM12R,D4311TR12R,D4311TS12R
"007901",3,6,5,11,18,47,65,57,83,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,9,7,42,68,52,75,91,4,8,8,17,21,42,63,46,88,92,2,4,4,10,13,44,65,55,78,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,29,14,14,71,3,5,3,8,16,50,67,64,79,87,2,2,-3,6,7,38,60,47,77,85,14,17,-3,33,-3,43,67,67,83,67,8,15,8,15,38,54,62,62,-4,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"007902",6,19,12,22,33,65,76,69,93,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,11,9,18,29,56,68,59,89,89,7,18,14,26,23,63,75,69,93,91,3,13,8,20,25,58,71,62,91,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,19,10,18,44,66,78,70,92,94,-3,5,3,10,24,48,64,55,89,87,-3,-3,-3,-3,11,10,22,11,40,56,13,30,20,27,46,80,89,82,98,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"007904",4,10,10,15,43,65,77,73,90,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,8,7,13,37,60,72,70,90,91,6,11,11,20,41,65,77,69,95,92,3,8,10,14,41,62,72,71,89,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,10,10,12,44,64,77,77,86,93,1,4,1,4,24,44,60,54,83,86,-3,13,-3,11,-3,22,38,50,44,67,8,18,10,22,50,74,94,80,94,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"007905",4,10,19,17,42,68,79,78,90,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,5,12,10,31,60,73,71,88,87,5,11,20,23,41,71,79,78,95,94,2,6,14,13,36,64,74,75,89,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,10,19,11,44,66,78,77,86,88,-3,2,3,4,18,44,60,60,80,81,-3,-3,-3,-3,4,16,35,35,54,49,8,21,28,25,53,77,88,81,94,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"007906",3,7,9,19,30,57,68,73,86,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,5,14,25,52,65,72,84,87,3,6,8,24,27,56,66,76,92,91,2,6,9,17,26,54,64,71,86,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,13,25,63,50,38,2,9,9,13,34,57,71,70,81,86,-3,1,-3,6,14,39,54,61,80,83,-3,-3,4,-3,8,20,36,56,52,48,6,14,8,31,50,72,92,83,89,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"008901",12,30,32,27,58,78,87,83,93,97,3,11,4,17,21,45,61,57,86,82,3,16,15,13,38,60,76,66,88,93,12,24,28,31,50,79,87,85,94,95,5,18,25,18,41,63,77,67,88,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,17,-3,-3,17,17,33,50,-4,12,36,35,24,65,77,88,81,93,98,1,6,4,7,27,50,68,57,84,91,-3,5,3,6,8,27,57,38,69,89,15,35,37,31,67,86,93,90,95,99,10,40,30,30,50,90,90,90,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"008902",10,19,24,23,57,77,86,85,93,97,3,8,11,13,43,55,78,68,87,-4,5,10,15,14,46,66,78,78,88,95,7,17,21,25,48,75,84,81,96,96,3,10,14,12,48,69,80,82,90,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,6,13,-3,33,60,25,87,12,21,27,21,65,80,87,88,89,97,1,3,4,8,28,52,69,67,84,93,4,9,2,17,16,49,62,61,81,81,17,30,34,35,67,88,92,91,97,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"008903",6,14,19,31,64,84,90,89,92,97,8,17,25,17,42,58,67,67,67,92,6,11,15,21,51,75,85,85,85,96,2,2,16,36,45,78,84,84,93,98,4,8,18,22,57,81,90,88,94,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,23,21,27,76,88,94,92,91,97,6,3,10,16,27,50,66,62,72,90,-3,-3,-3,-3,-3,-3,33,22,11,67,9,21,19,44,79,96,98,95,96,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"009901",7,18,25,17,44,69,76,82,93,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,17,11,37,65,72,80,91,92,10,16,29,25,37,74,76,85,97,94,5,15,19,11,37,65,72,81,91,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,33,38,50,75,67,-4,5,20,21,10,49,66,75,80,89,93,-3,-3,3,2,20,48,58,69,87,87,-3,-3,5,5,26,37,53,63,79,74,14,31,43,34,66,83,86,86,97,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"010901",4,14,22,31,39,80,88,88,96,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,8,13,25,17,76,83,92,92,-4,8,16,24,36,36,84,92,84,96,-4,-3,-3,-3,27,18,75,91,91,91,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,13,21,25,42,76,83,92,96,-4,-3,5,10,19,5,64,76,81,90,-4,-3,10,10,20,-3,55,50,80,-4,-4,5,19,27,30,46,81,86,86,97,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
