DISTRICT,D200A001513R,D200A001S14R,D200AC01513R,D200AC01S14R,D200AM01513R,D200AM01S14R,D200AR01513R,D200AR01S14R,D200AS01513R,D200AS01S14R,D200AW01513R,D200AW01S14R,D300A001513R,D300A001S14R,D300AC01513R,D300AC01S14R,D300AM01513R,D300AM01S14R,D300AR01513R,D300AR01S14R,D300AS01513R,D300AS01S14R,D300AW01513R,D300AW01S14R,D400A001513R,D400A001S14R,D400AC01513R,D400AC01S14R,D400AM01513R,D400AM01S14R,D400AR01513R,D400AR01S14R,D400AS01513R,D400AS01S14R,D400AW01513R,D400AW01S14R,DA00A001513R,DA00A001S14R,DA00AC01513R,DA00AC01S14R,DA00AM01513R,DA00AM01S14R,DA00AR01513R,DA00AR01S14R,DA00AS01513R,DA00AS01S14R,DA00AW01513R,DA00AW01S14R,DB00A001513R,DB00A001S14R,DB00AC01513R,DB00AC01S14R,DB00AM01513R,DB00AM01S14R,DB00AR01513R,DB00AR01S14R,DB00AS01513R,DB00AS01S14R,DB00AW01513R,DB00AW01S14R,DE00A001513R,DE00A001S14R,DE00AC01513R,DE00AC01S14R,DE00AM01513R,DE00AM01S14R,DE00AR01513R,DE00AR01S14R,DE00AS01513R,DE00AS01S14R,DE00AW01513R,DE00AW01S14R,DF00A001513R,DF00A001S14R,DF00AC01513R,DF00AC01S14R,DF00AM01513R,DF00AM01S14R,DF00AR01513R,DF00AR01S14R,DF00AS01513R,DF00AS01S14R,DF00AW01513R,DF00AW01S14R,DH00A001513R,DH00A001S14R,DH00AC01513R,DH00AC01S14R,DH00AM01513R,DH00AM01S14R,DH00AR01513R,DH00AR01S14R,DH00AS01513R,DH00AS01S14R,DH00AW01513R,DH00AW01S14R,DI00A001513R,DI00A001S14R,DI00AC01513R,DI00AC01S14R,DI00AM01513R,DI00AM01S14R,DI00AR01513R,DI00AR01S14R,DI00AS01513R,DI00AS01S14R,DI00AW01513R,DI00AW01S14R,DL00A001513R,DL00A001S14R,DL00AC01513R,DL00AC01S14R,DL00AM01513R,DL00AM01S14R,DL00AR01513R,DL00AR01S14R,DL00AS01513R,DL00AS01S14R,DL00AW01513R,DL00AW01S14R,DM00A001513R,DM00A001S14R,DM00AC01513R,DM00AC01S14R,DM00AM01513R,DM00AM01S14R,DM00AR01513R,DM00AR01S14R,DM00AS01513R,DM00AS01S14R,DM00AW01513R,DM00AW01S14R,DR00A001513R,DR00A001S14R,DR00AC01513R,DR00AC01S14R,DR00AM01513R,DR00AM01S14R,DR00AR01513R,DR00AR01S14R,DR00AS01513R,DR00AS01S14R,DR00AW01513R,DR00AW01S14R,DS00A001513R,DS00A001S14R,DS00AC01513R,DS00AC01S14R,DS00AM01513R,DS00AM01S14R,DS00AR01513R,DS00AR01S14R,DS00AS01513R,DS00AS01S14R,DS00AW01513R,DS00AW01S14R,DW00A001513R,DW00A001S14R,DW00AC01513R,DW00AC01S14R,DW00AM01513R,DW00AM01S14R,DW00AR01513R,DW00AR01S14R,DW00AS01513R,DW00AS01S14R,DW00AW01513R,DW00AW01S14R
"129906",71,77,74,91,64,72,81,78,67,88,64,63,90,86,100,-1,95,81,85,92,100,100,67,71,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,66,68,71,70,70,71,70,67,60,70,51,58,56,61,61,66,60,65,60,58,49,59,41,53,62,65,66,67,67,69,66,64,55,65,48,53,67,70,67,69,70,72,73,72,57,66,57,65,65,67,66,66,72,72,67,66,57,64,53,52,72,75,-1,-1,100,71,63,89,-1,-1,-1,-1,43,48,40,37,55,59,40,47,29,33,31,29,65,67,74,72,70,71,67,63,63,72,46,51,55,59,60,63,62,64,58,57,51,59,38,41,48,63,54,61,50,70,53,61,42,54,35,57,75,76,83,81,76,76,80,75,70,83,56,69
"129910",76,93,86,-1,78,100,80,100,-1,-1,-1,-1,83,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,80,85,90,84,84,91,85,84,67,74,62,84,70,78,74,82,78,94,78,59,53,-1,54,-1,72,80,86,78,79,88,77,77,57,71,46,79,80,85,87,79,83,90,87,87,61,64,72,93,71,80,84,70,76,89,73,76,54,62,52,83,96,75,100,-1,100,-1,100,-1,-1,-1,-1,-1,-1,72,.,-1,-1,77,-1,71,.,-1,-1,-1,79,85,93,90,85,91,83,82,72,86,52,75,65,72,79,70,71,82,67,68,50,62,42,65,62,78,73,75,70,87,67,75,50,74,43,63,81,86,91,86,85,91,87,87,69,74,64,85
"130801",-1,-1,-1,.,-1,-1,.,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,20,37,-1,28,22,33,17,53,38,21,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,18,33,-1,28,23,32,15,54,32,22,-1,45,33,-1,-1,-1,-1,46,45,80,-1,-1,-1,44,21,38,-1,44,28,44,-1,50,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,15,37,-1,27,21,27,-1,40,38,-1,-1,26,18,33,-1,22,22,25,14,42,32,-1,-1,21,11,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,29,26,-1,-1,-1,-1,33,23,56,-1,-1,-1
"130901",95,94,98,97,94,96,92,95,100,94,88,75,91,98,97,100,93,96,93,98,88,100,80,100,79,92,-1,-1,83,-1,86,-1,-1,-1,-1,.,90,90,92,90,92,90,92,91,90,88,79,85,73,84,70,-1,71,86,82,95,-1,-1,-1,-1,75,74,75,76,80,76,80,75,75,69,54,64,92,91,91,89,93,91,94,93,89,86,86,91,82,81,84,83,85,82,85,83,83,79,69,74,93,90,100,75,92,100,96,89,100,86,79,-1,46,49,38,41,61,50,50,52,38,50,23,43,89,89,92,91,92,89,90,89,90,89,73,80,72,74,76,74,77,74,77,76,72,73,50,60,67,70,68,62,69,71,74,73,69,71,41,62,93,93,94,93,95,93,95,94,92,90,83,90
"130902",72,93,100,-1,67,88,78,100,-1,100,-1,-1,100,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,76,77,80,75,77,77,79,79,76,78,68,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,68,67,74,63,68,68,70,68,64,65,58,65,78,79,76,73,77,80,83,80,75,75,76,88,70,68,76,67,71,69,71,70,67,68,61,62,100,-1,-1,.,-1,.,-1,.,-1,-1,-1,.,47,43,47,56,56,47,44,37,44,-1,38,40,75,75,84,76,76,74,75,77,78,81,61,56,59,62,67,57,61,63,60,64,59,61,47,57,48,50,55,37,50,57,50,54,49,40,35,43,85,88,86,86,83,86,88,90,89,91,77,84
"131001",-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,76,100,-1,71,76,87,76,.,.,-1,75,.,.,.,.,.,.,.,.,.,.,.,.,80,77,100,-1,75,81,83,77,.,.,-1,71,80,66,100,-1,65,63,94,63,.,.,-1,71,73,73,100,-1,62,74,83,74,.,.,-1,70,.,.,.,.,.,.,.,.,.,.,.,.,100,100,.,-1,-1,-1,-1,-1,.,.,-1,.,78,84,-1,-1,76,89,81,89,.,.,-1,-1,65,64,-1,-1,55,65,75,65,.,.,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,100,100,-1,.,100,-1,100,-1,.,.,-1,-1
"132902",.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,83,93,81,83,76,89,90,88,74,76,95,.,-1,.,.,.,-1,.,-1,.,.,.,.,82,77,88,85,79,70,85,84,84,-1,67,100,90,81,89,77,88,71,94,90,95,60,86,100,76,70,69,82,80,56,76,78,75,-1,78,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,86,96,85,79,81,85,90,83,89,70,89,74,69,94,70,59,56,83,81,87,-1,56,89,53,83,-1,-1,-1,78,63,89,-1,-1,-1,-1,90,91,100,80,84,91,94,96,91,75,75,100
"133901",94,80,-1,-1,-1,-1,100,100,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76,71,80,75,82,73,78,71,73,65,62,67,69,67,-1,-1,-1,-1,-1,-1,-1,.,-1,.,75,68,78,71,80,72,75,68,74,55,60,66,78,73,76,75,84,74,81,74,68,60,71,84,72,65,78,69,76,69,73,64,67,51,64,60,.,.,.,.,.,.,.,.,.,.,.,.,29,43,-1,45,39,60,-1,36,-1,-1,-1,-1,75,69,83,75,80,71,75,68,80,72,53,53,58,56,62,64,64,59,56,55,62,48,42,47,38,37,40,43,48,44,41,26,36,-1,-1,63,80,79,82,83,86,77,83,79,78,79,61,75
"133902",.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87,86,83,88,88,83,92,92,63,62,83,92,.,.,.,.,.,.,.,.,.,.,.,.,73,73,64,79,78,75,78,75,-1,-1,67,86,84,87,74,83,87,85,90,92,60,67,81,95,70,70,54,70,80,71,80,71,-1,-1,56,88,.,.,.,.,.,.,.,.,.,.,.,.,47,41,-1,-1,67,50,-1,-1,-1,-1,-1,.,90,86,90,94,89,81,95,92,-1,56,86,89,66,72,50,78,82,69,77,80,-1,-1,-1,71,85,83,-1,-1,91,100,91,88,-1,-1,-1,-1,94,92,96,96,91,86,97,99,88,71,92,93
"133903",88,83,85,100,91,80,89,83,85,78,83,78,96,94,100,100,97,96,100,93,88,78,83,100,100,100,-1,-1,.,-1,-1,-1,-1,-1,-1,.,85,84,89,89,89,85,87,82,80,82,73,81,82,72,93,76,89,73,76,71,83,-1,65,73,79,78,83,84,85,80,82,76,71,74,65,74,86,85,86,89,89,86,88,86,78,79,80,85,79,78,83,83,84,80,81,76,71,74,65,74,68,76,-1,-1,63,-1,67,75,-1,.,-1,-1,67,60,67,54,77,67,63,58,42,50,62,49,85,83,91,89,89,85,86,80,82,85,68,77,75,70,82,76,80,73,77,67,69,73,58,63,66,68,80,77,67,69,71,65,53,75,53,53,91,90,94,93,93,91,92,89,87,88,80,87
"133904",62,64,67,-1,73,70,69,50,-1,-1,54,-1,87,73,-1,-1,89,-1,89,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,66,70,63,70,72,72,71,68,61,73,55,63,40,62,-1,.,-1,-1,-1,83,-1,-1,-1,-1,61,66,56,66,67,70,65,65,54,58,49,62,69,71,61,66,74,73,75,73,63,70,64,69,59,62,56,64,67,65,63,59,55,69,46,61,33,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,31,43,33,33,39,51,29,41,39,46,14,33,63,68,65,74,70,71,67,64,60,75,47,57,54,56,54,60,59,59,58,53,51,69,38,39,42,50,42,56,44,51,47,48,41,67,23,-1,72,76,68,74,75,78,76,77,70,76,63,63
"133905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,-1,-1,100,100,100,100,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,-1,-1,100,100,100,100,.,.,-1,-1,100,100,-1,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,100,-1,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,100,100,-1,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,100,100,-1,-1,100,-1,100,-1,.,.,-1,.
"134901",75,94,-1,-1,-1,100,-1,100,-1,-1,-1,-1,50,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,76,76,78,80,72,74,83,80,71,71,68,60,-1,.,.,.,-1,.,-1,.,.,.,.,.,67,71,69,78,64,67,76,77,58,63,59,56,75,76,77,77,69,69,84,81,68,75,75,78,69,68,69,69,68,65,80,74,63,61,54,58,-1,.,-1,.,.,.,-1,.,-1,.,.,.,55,61,-1,-1,-1,63,-1,54,-1,-1,-1,-1,76,76,80,83,75,79,83,80,75,67,59,48,63,59,64,62,58,54,78,66,51,54,52,47,71,70,54,71,69,64,85,79,71,-1,64,55,80,80,84,88,75,79,86,84,77,76,80,61
"135001",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,91,93,95,93,99,95,96,92,85,85,73,100,.,.,.,.,.,.,.,.,.,.,.,.,91,98,86,100,100,100,94,93,-1,100,67,-1,95,92,93,94,100,93,100,93,82,75,86,100,91,80,90,-1,100,-1,100,78,88,-1,70,.,.,.,.,.,.,.,.,.,.,.,.,.,89,-1,-1,.,-1,.,100,.,-1,-1,-1,.,89,94,96,90,98,97,93,91,86,92,65,100,95,92,100,-1,100,86,92,90,100,-1,-1,-1,100,100,-1,-1,100,-1,100,-1,-1,-1,-1,.,92,95,97,92,98,98,95,95,84,81,73,100
"136901",100,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,.,-1,.,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,81,78,78,73,81,82,89,84,75,60,71,71,80,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,72,71,65,73,78,84,78,75,43,62,56,80,81,76,70,81,82,90,88,68,56,78,88,76,73,72,66,77,78,85,78,70,50,66,63,.,.,.,.,.,.,.,.,.,.,.,.,54,26,-1,-1,60,44,47,-1,-1,-1,-1,-1,81,76,80,76,81,81,87,80,83,63,65,51,71,65,72,60,72,71,79,67,69,54,54,48,67,80,50,82,59,80,78,85,83,-1,60,-1,90,91,91,92,90,90,97,94,86,85,80,83
"137901",.,86,.,.,.,-1,.,-1,.,.,.,-1,77,81,67,-1,88,71,81,75,63,100,71,-1,.,.,.,.,.,.,.,.,.,.,.,.,62,61,67,65,62,62,66,60,59,56,50,66,56,63,57,67,57,59,62,67,56,53,45,72,58,59,63,63,59,60,63,58,53,52,48,65,63,64,66,65,63,65,69,65,57,57,56,72,60,60,65,63,61,61,65,58,56,54,49,65,90,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,43,46,67,56,52,54,38,42,-1,-1,-1,42,60,58,67,65,61,60,64,55,61,56,45,61,45,46,52,51,44,47,49,44,44,43,32,50,38,45,33,46,43,52,43,40,35,36,26,52,76,75,88,84,73,76,79,72,81,80,61,67
"137902",100,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,-1,100,.,.,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,84,81,88,73,83,84,86,85,68,48,86,85,100,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,77,74,84,55,76,78,77,77,62,32,79,79,83,83,85,70,81,84,86,88,54,50,91,91,82,79,84,69,81,81,83,82,63,44,85,84,.,.,.,.,.,.,.,.,.,.,.,.,73,61,-1,-1,68,67,76,50,-1,-1,100,77,85,79,90,77,86,83,86,82,78,45,80,79,64,63,73,43,65,69,66,66,-1,32,73,65,58,80,-1,-1,73,80,64,93,-1,.,-1,86,93,91,100,89,91,94,94,94,89,60,88,96
"137903",100,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,.,.,-1,.,.,.,.,76,79,85,78,75,79,83,78,68,78,58,86,.,.,.,.,.,.,.,.,.,.,.,.,68,70,80,72,66,70,74,69,65,71,52,75,77,80,89,73,78,79,85,80,61,78,61,92,68,74,78,72,68,76,77,71,60,75,50,83,-1,100,-1,-1,-1,-1,-1,-1,-1,.,.,-1,69,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,78,82,82,73,79,81,75,73,78,56,78,57,67,69,71,53,67,68,64,52,69,38,69,48,59,-1,-1,47,67,55,50,-1,-1,-1,-1,91,90,98,94,90,87,96,93,85,85,79,92
"137904",100,100,-1,-1,-1,-1,-1,100,-1,.,-1,.,100,100,-1,-1,100,100,100,100,-1,-1,100,-1,.,.,.,.,.,.,.,.,.,.,.,.,85,90,91,90,92,86,85,90,85,98,69,93,100,84,-1,-1,-1,83,-1,88,-1,.,-1,-1,79,86,90,91,91,82,77,83,74,94,60,94,87,93,93,90,92,90,87,94,82,96,79,100,84,89,90,90,91,83,83,89,83,98,68,91,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,87,89,89,91,81,83,86,88,100,59,89,60,71,78,-1,74,-1,60,68,61,89,33,-1,50,46,-1,-1,50,-1,60,64,-1,-1,-1,-1,87,94,95,88,92,95,88,93,87,100,68,100
"138902",91,86,-1,.,100,-1,100,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,73,70,75,71,67,84,78,69,70,68,73,66,58,62,83,72,45,74,64,62,-1,-1,-1,70,70,69,74,66,65,80,70,67,71,62,72,74,72,74,75,68,66,81,80,72,58,70,67,67,67,61,67,61,63,82,70,52,64,67,80,.,.,.,.,.,.,.,.,.,.,.,.,48,45,-1,-1,67,53,62,39,-1,-1,-1,-1,74,74,66,76,74,69,87,76,65,86,66,78,56,61,47,62,54,56,69,66,50,55,53,62,56,66,60,78,52,60,59,70,54,-1,56,-1,80,83,78,85,77,78,87,88,82,76,71,70
"138903",49,52,-1,-1,-1,55,73,55,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,72,75,67,75,73,78,73,58,71,52,71,39,41,-1,-1,-1,-1,50,50,-1,-1,-1,-1,66,67,69,68,70,65,75,67,54,74,44,66,76,75,78,65,81,72,84,77,59,84,63,74,68,66,69,66,74,67,74,64,56,71,51,64,.,.,.,.,.,.,.,.,.,.,.,.,53,38,-1,-1,60,-1,60,-1,-1,-1,-1,-1,64,69,70,68,68,74,70,70,57,56,40,68,53,56,60,57,59,59,57,56,48,52,29,55,42,53,50,-1,32,59,52,59,-1,-1,38,-1,84,88,90,78,92,89,89,91,68,87,66,93
"138904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,81,82,77,78,87,88,81,55,78,60,69,.,.,.,.,.,.,.,.,.,.,.,.,74,77,79,64,74,85,86,77,-1,71,58,70,67,69,80,63,67,79,77,67,-1,-1,-1,-1,74,72,-1,-1,71,78,86,85,-1,-1,71,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,83,.,.,.,-1,.,-1,.,.,.,-1,91,88,86,86,89,91,100,91,-1,86,83,71,70,69,-1,62,70,76,73,74,-1,-1,-1,-1,-1,92,.,-1,-1,-1,-1,-1,.,-1,-1,.,79,85,92,88,81,91,89,78,56,100,-1,80
"139905",67,61,67,-1,70,-1,80,75,71,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84,83,88,74,86,87,88,89,77,71,72,72,66,63,80,70,71,63,71,71,50,63,53,-1,78,76,81,67,80,80,82,83,71,63,65,54,84,85,89,76,85,88,88,93,75,72,79,75,78,80,74,60,87,81,88,91,68,63,55,75,77,82,-1,-1,78,91,78,83,-1,-1,-1,-1,61,68,-1,56,60,67,87,90,-1,-1,-1,-1,83,81,87,72,87,85,88,85,79,70,64,70,69,70,77,61,72,73,72,78,64,61,53,48,66,72,67,39,66,76,67,88,75,-1,57,64,86,85,90,76,87,89,90,90,81,74,75,76
"139908",92,.,100,.,100,.,100,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,84,81,90,85,90,71,89,83,64,94,71,94,76,67,85,-1,74,-1,89,79,58,-1,63,-1,81,76,86,74,86,67,88,79,61,86,68,92,90,80,94,87,91,61,98,89,69,88,87,100,92,100,100,-1,86,100,100,100,-1,-1,-1,-1,100,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,82,86,84,89,81,82,78,59,100,63,90,43,56,-1,-1,67,-1,-1,60,-1,-1,-1,-1,87,66,86,-1,77,-1,100,91,-1,-1,100,-1,87,81,93,88,95,73,89,82,69,92,74,93
"139909",67,71,76,73,72,71,70,70,63,70,47,74,91,92,83,-1,100,91,95,93,82,-1,88,100,.,.,.,.,.,.,.,.,.,.,.,.,71,72,77,71,75,75,75,71,64,72,57,65,60,62,66,62,64,65,67,60,49,64,44,57,65,66,69,65,69,70,70,65,54,64,49,58,73,72,76,70,78,75,77,73,61,68,64,70,74,69,80,65,78,75,75,69,75,69,60,58,62,76,56,-1,67,79,78,76,50,-1,-1,67,49,55,35,41,61,65,53,57,-1,-1,39,48,69,71,78,73,72,75,73,69,67,76,49,61,52,54,59,53,55,58,58,53,44,56,36,41,57,61,62,67,57,67,60,54,59,74,37,53,81,82,87,82,84,83,83,82,76,82,68,74
"139911",77,74,85,67,78,89,83,73,76,-1,59,71,97,97,92,100,100,100,94,100,100,-1,100,-1,-1,100,.,.,-1,-1,-1,-1,.,.,.,-1,79,80,83,80,84,88,83,81,71,64,63,70,65,67,75,75,74,72,70,66,51,53,46,47,71,73,75,71,79,84,75,73,59,48,54,60,81,82,82,79,85,89,86,84,67,56,70,79,72,76,76,74,80,85,79,75,63,61,46,64,75,78,90,67,79,85,77,89,73,-1,-1,55,60,55,-1,-1,85,68,63,56,-1,-1,36,-1,78,79,84,81,82,87,81,78,75,71,55,62,60,65,69,63,67,78,66,65,51,44,39,47,64,68,62,68,67,75,75,68,49,42,45,57,80,82,84,81,85,89,85,82,73,65,65,72
"139912",82,89,-1,100,100,86,91,93,-1,.,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,80,82,80,87,84,86,81,73,74,67,76,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,75,78,75,82,79,81,76,65,66,58,68,85,83,83,78,89,85,90,87,72,71,77,83,79,72,68,56,88,77,80,82,79,44,70,88,84,100,-1,-1,100,-1,100,-1,-1,-1,86,.,-1,42,-1,.,-1,-1,-1,-1,.,.,.,-1,78,78,81,81,85,83,81,75,75,77,57,69,64,65,70,63,76,73,70,63,52,66,40,51,47,69,55,67,56,86,51,63,27,56,36,62,82,81,84,82,87,85,86,81,74,77,67,75
"140901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,68,60,68,60,65,71,71,67,80,52,52,68,42,-1,-1,-1,-1,83,-1,-1,-1,-1,-1,61,64,56,65,60,62,70,68,63,78,50,50,65,66,60,67,59,59,71,72,79,67,58,67,61,68,63,68,60,67,67,71,65,83,49,50,.,.,.,.,.,.,.,.,.,.,.,.,46,63,-1,-1,56,67,44,74,-1,-1,-1,-1,61,69,60,69,60,70,71,71,61,91,49,38,61,64,52,65,62,63,68,68,64,75,52,36,46,70,-1,-1,45,67,47,77,-1,-1,46,-1,68,81,-1,-1,57,-1,87,-1,-1,-1,67,-1
"140904",94,81,100,-1,90,73,90,83,-1,-1,100,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,72,72,73,77,72,75,71,65,70,64,76,67,71,65,70,71,72,65,69,76,77,58,75,69,67,68,64,73,68,70,67,62,61,61,73,73,76,71,77,78,75,77,76,60,66,69,84,66,68,64,66,71,69,70,66,53,61,60,74,64,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,39,37,-1,-1,60,52,-1,40,-1,-1,47,-1,71,68,73,70,75,70,73,65,70,74,60,67,56,54,59,58,60,56,58,51,51,52,49,52,46,53,48,62,46,54,47,46,53,50,37,75,87,85,89,90,91,83,89,84,83,89,75,83
"140905",100,-1,-1,.,-1,.,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,76,82,69,80,79,80,77,78,67,57,79,92,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,72,70,77,59,74,74,76,70,76,63,52,74,80,80,83,72,82,76,85,84,76,71,69,90,73,72,78,63,76,74,76,73,76,66,52,76,.,.,.,.,.,.,.,.,.,.,.,.,50,55,58,58,55,67,50,49,57,-1,-1,50,74,72,82,66,78,81,75,71,81,64,49,67,62,62,72,57,63,67,67,62,68,53,32,60,61,62,60,53,60,68,66,65,77,-1,41,62,88,88,93,82,93,94,89,90,86,70,73,94
"140907",-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,73,74,77,76,71,67,73,68,70,49,76,46,76,-1,-1,63,75,56,70,-1,-1,-1,-1,61,67,66,68,70,66,61,69,60,56,42,74,69,79,66,78,75,73,71,80,62,78,58,92,60,68,62,69,72,67,60,69,57,57,40,76,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,57,64,-1,.,-1,-1,-1,-1,-1,.,-1,-1,68,69,81,76,76,70,64,68,73,62,42,65,47,52,59,61,57,48,43,53,47,45,25,59,41,64,57,71,59,67,39,57,32,-1,-1,-1,85,85,98,94,86,81,82,85,91,93,73,81
"140908",80,72,-1,-1,-1,83,-1,83,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,80,79,71,88,78,87,85,78,81,76,78,74,91,-1,-1,75,-1,88,-1,-1,-1,-1,-1,79,74,73,65,84,73,83,80,73,75,75,72,84,81,72,74,87,78,93,85,71,77,89,88,78,75,71,65,82,72,83,82,69,75,77,75,.,.,.,.,.,.,.,.,.,.,.,.,51,52,-1,-1,58,60,58,60,-1,-1,-1,-1,82,79,85,70,88,77,82,84,83,86,63,67,73,69,75,56,78,65,75,75,64,76,62,63,73,56,85,71,76,44,72,64,73,-1,50,-1,89,86,87,81,94,84,91,87,89,91,77,85
"141901",84,86,92,100,88,83,86,87,78,83,69,80,77,80,93,88,88,76,73,82,67,100,57,-1,80,100,100,-1,69,100,75,100,100,-1,75,-1,79,80,87,86,82,79,81,80,77,80,63,71,74,78,83,80,74,82,77,83,67,62,67,-1,72,73,82,79,76,73,74,73,67,73,54,63,81,81,85,85,82,78,85,83,76,81,73,77,73,73,81,76,76,72,75,73,71,71,56,70,66,73,100,-1,54,83,62,69,-1,-1,-1,-1,33,50,-1,45,38,64,33,47,-1,-1,-1,-1,77,79,89,86,82,80,77,77,78,79,54,63,65,67,78,76,68,67,66,65,64,68,41,48,53,62,67,61,58,62,52,65,58,67,30,41,81,82,89,89,84,81,83,82,79,83,65,72
"141902",.,67,.,-1,.,-1,.,-1,.,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,68,71,68,71,69,71,72,72,66,68,54,67,.,.,.,.,.,.,.,.,.,.,.,.,63,65,65,63,64,69,67,65,58,57,48,60,71,78,67,79,73,73,81,82,57,71,62,83,57,59,65,54,59,63,59,57,53,45,44,65,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,.,40,31,-1,-1,46,45,-1,-1,-1,-1,-1,-1,65,65,70,65,66,70,65,64,76,65,46,52,55,60,59,56,57,63,58,63,55,53,37,48,62,69,60,-1,59,77,62,73,56,-1,73,-1,77,84,72,89,78,78,84,92,79,79,63,68
