DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD000AC01218R,DD000AC01318R,DD000AC01S18R,DD000AM01218R,DD000AM01318R,DD000AM01S18R,DD000AR01218R,DD000AR01318R,DD000AR01S18R,DD000AS01218R,DD000AS01318R,DD000AS01S18R,DD000AW01218R,DD000AW01318R,DD000AW01S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD200AC01218R,DD200AC01318R,DD200AC01S18R,DD200AM01218R,DD200AM01318R,DD200AM01S18R,DD200AR01218R,DD200AR01318R,DD200AR01S18R,DD200AS01218R,DD200AS01318R,DD200AS01S18R,DD200AW01218R,DD200AW01318R,DD200AW01S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD300AC01218R,DD300AC01318R,DD300AC01S18R,DD300AM01218R,DD300AM01318R,DD300AM01S18R,DD300AR01218R,DD300AR01318R,DD300AR01S18R,DD300AS01218R,DD300AS01318R,DD300AS01S18R,DD300AW01218R,DD300AW01318R,DD300AW01S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DD400AC01218R,DD400AC01318R,DD400AC01S18R,DD400AM01218R,DD400AM01318R,DD400AM01S18R,DD400AR01218R,DD400AR01318R,DD400AR01S18R,DD400AS01218R,DD400AS01318R,DD400AS01S18R,DD400AW01218R,DD400AW01318R,DD400AW01S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDA00AC01218R,DDA00AC01318R,DDA00AC01S18R,DDA00AM01218R,DDA00AM01318R,DDA00AM01S18R,DDA00AR01218R,DDA00AR01318R,DDA00AR01S18R,DDA00AS01218R,DDA00AS01318R,DDA00AS01S18R,DDA00AW01218R,DDA00AW01318R,DDA00AW01S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDB00AC01218R,DDB00AC01318R,DDB00AC01S18R,DDB00AM01218R,DDB00AM01318R,DDB00AM01S18R,DDB00AR01218R,DDB00AR01318R,DDB00AR01S18R,DDB00AS01218R,DDB00AS01318R,DDB00AS01S18R,DDB00AW01218R,DDB00AW01318R,DDB00AW01S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDE00AC01218R,DDE00AC01318R,DDE00AC01S18R,DDE00AM01218R,DDE00AM01318R,DDE00AM01S18R,DDE00AR01218R,DDE00AR01318R,DDE00AR01S18R,DDE00AS01218R,DDE00AS01318R,DDE00AS01S18R,DDE00AW01218R,DDE00AW01318R,DDE00AW01S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDF00AC01218R,DDF00AC01318R,DDF00AC01S18R,DDF00AM01218R,DDF00AM01318R,DDF00AM01S18R,DDF00AR01218R,DDF00AR01318R,DDF00AR01S18R,DDF00AS01218R,DDF00AS01318R,DDF00AS01S18R,DDF00AW01218R,DDF00AW01318R,DDF00AW01S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDH00AC01218R,DDH00AC01318R,DDH00AC01S18R,DDH00AM01218R,DDH00AM01318R,DDH00AM01S18R,DDH00AR01218R,DDH00AR01318R,DDH00AR01S18R,DDH00AS01218R,DDH00AS01318R,DDH00AS01S18R,DDH00AW01218R,DDH00AW01318R,DDH00AW01S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDI00AC01218R,DDI00AC01318R,DDI00AC01S18R,DDI00AM01218R,DDI00AM01318R,DDI00AM01S18R,DDI00AR01218R,DDI00AR01318R,DDI00AR01S18R,DDI00AS01218R,DDI00AS01318R,DDI00AS01S18R,DDI00AW01218R,DDI00AW01318R,DDI00AW01S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDL00AC01218R,DDL00AC01318R,DDL00AC01S18R,DDL00AM01218R,DDL00AM01318R,DDL00AM01S18R,DDL00AR01218R,DDL00AR01318R,DDL00AR01S18R,DDL00AS01218R,DDL00AS01318R,DDL00AS01S18R,DDL00AW01218R,DDL00AW01318R,DDL00AW01S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDM00AC01218R,DDM00AC01318R,DDM00AC01S18R,DDM00AM01218R,DDM00AM01318R,DDM00AM01S18R,DDM00AR01218R,DDM00AR01318R,DDM00AR01S18R,DDM00AS01218R,DDM00AS01318R,DDM00AS01S18R,DDM00AW01218R,DDM00AW01318R,DDM00AW01S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDR00AC01218R,DDR00AC01318R,DDR00AC01S18R,DDR00AM01218R,DDR00AM01318R,DDR00AM01S18R,DDR00AR01218R,DDR00AR01318R,DDR00AR01S18R,DDR00AS01218R,DDR00AS01318R,DDR00AS01S18R,DDR00AW01218R,DDR00AW01318R,DDR00AW01S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDS00AC01218R,DDS00AC01318R,DDS00AC01S18R,DDS00AM01218R,DDS00AM01318R,DDS00AM01S18R,DDS00AR01218R,DDS00AR01318R,DDS00AR01S18R,DDS00AS01218R,DDS00AS01318R,DDS00AS01S18R,DDS00AW01218R,DDS00AW01318R,DDS00AW01S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DDW00AC01218R,DDW00AC01318R,DDW00AC01S18R,DDW00AM01218R,DDW00AM01318R,DDW00AM01S18R,DDW00AR01218R,DDW00AR01318R,DDW00AR01S18R,DDW00AS01218R,DDW00AS01318R,DDW00AS01S18R,DDW00AW01218R,DDW00AW01318R,DDW00AW01S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNC00AC01218R,DNC00AC01318R,DNC00AC01S18R,DNC00AM01218R,DNC00AM01318R,DNC00AM01S18R,DNC00AR01218R,DNC00AR01318R,DNC00AR01S18R,DNC00AS01218R,DNC00AS01318R,DNC00AS01S18R,DNC00AW01218R,DNC00AW01318R,DNC00AW01S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNM00AC01218R,DNM00AC01318R,DNM00AC01S18R,DNM00AM01218R,DNM00AM01318R,DNM00AM01S18R,DNM00AR01218R,DNM00AR01318R,DNM00AR01S18R,DNM00AS01218R,DNM00AS01318R,DNM00AS01S18R,DNM00AW01218R,DNM00AW01318R,DNM00AW01S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R,DNS00AC01218R,DNS00AC01318R,DNS00AC01S18R,DNS00AM01218R,DNS00AM01318R,DNS00AM01S18R,DNS00AR01218R,DNS00AR01318R,DNS00AR01S18R,DNS00AS01218R,DNS00AS01318R,DNS00AS01S18R,DNS00AW01218R,DNS00AW01318R,DNS00AW01S18R
"126902",37,14,72,40,12,71,41,19,80,34,10,66,29,14,67,-1,-1,-1,54,25,83,55,25,90,51,23,84,55,23,81,59,39,80,.,.,.,62,34,87,63,31,88,67,35,96,59,29,79,59,59,86,.,.,.,67,25,85,50,0,83,79,29,93,55,23,77,100,50,100,.,.,.,51,22,81,57,24,85,48,21,83,50,20,78,56,33,80,77,5,82,36,12,69,36,13,68,35,12,73,35,11,66,45,17,71,-1,-1,-1,40,15,74,45,16,76,38,15,77,39,14,70,45,22,72,73,0,82,54,24,84,57,23,87,50,22,85,57,23,83,56,33,81,83,0,100,45,18,78,52,17,81,42,18,80,44,16,75,47,26,78,88,0,88,49,17,86,33,8,92,47,26,85,58,15,88,44,0,78,.,.,.,28,9,64,27,6,61,34,14,75,25,5,56,13,5,50,-1,-1,-1,48,21,78,56,24,83,47,20,82,44,16,73,55,33,79,75,6,75,25,6,64,31,7,70,23,6,68,23,4,57,33,13,66,57,0,71,24,7,47,29,7,53,24,8,52,21,6,39,25,4,53,89,5,89,54,24,83,61,27,88,51,23,85,53,22,79,59,37,82,69,8,77,53,23,82,58,24,86,50,22,84,52,21,79,57,36,80,77,8,85,48,19,79,54,21,81,45,19,82,46,17,74,53,27,80,78,0,78,41,15,72,42,14,78,42,17,77,37,13,65,52,21,75,.,.,.
"126903",25,7,58,24,6,57,29,10,67,24,6,52,16,4,52,28,7,55,39,15,71,43,14,71,34,14,69,39,16,71,47,21,79,45,0,64,62,41,94,67,50,100,56,44,100,55,27,91,67,67,83,-1,-1,-1,27,6,56,21,0,63,23,3,62,25,6,47,50,25,58,-1,-1,-1,37,13,68,39,14,70,35,12,72,38,12,66,41,19,70,36,9,62,26,5,58,33,6,55,20,4,61,27,5,55,35,8,68,12,0,59,30,9,62,30,9,63,29,8,66,31,8,59,33,16,64,28,7,56,39,13,72,36,13,70,34,11,73,43,14,71,38,18,70,46,12,71,31,9,63,30,9,62,30,10,68,30,8,59,33,13,65,31,7,57,40,17,64,42,8,67,38,23,69,43,10,60,50,50,67,-1,-1,-1,18,5,50,12,2,45,24,8,62,16,5,44,4,0,33,23,4,52,36,12,66,41,14,70,35,13,70,34,10,61,44,21,70,27,6,54,22,5,56,21,5,58,22,6,61,21,4,52,25,8,60,22,4,48,20,5,37,18,3,35,22,7,42,20,4,34,18,4,35,26,4,44,45,17,75,48,20,80,40,15,76,47,15,73,50,27,75,42,12,68,39,13,70,41,14,72,36,13,73,39,12,67,43,20,72,37,9,63,33,11,63,33,11,63,30,11,67,34,10,61,35,18,61,33,7,58,39,17,67,43,14,75,38,16,70,37,17,59,53,41,82,22,0,67
"126904",38,10,67,40,0,100,47,13,72,35,9,71,-1,-1,-1,25,17,25,58,33,81,67,50,83,45,45,82,62,15,77,-1,-1,-1,-1,-1,-1,88,56,100,-1,-1,-1,100,60,100,83,50,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,30,89,73,35,94,69,37,93,58,24,88,65,37,89,52,20,78,36,8,68,-1,-1,-1,38,13,88,30,10,60,-1,-1,-1,-1,-1,-1,50,18,83,60,22,88,59,24,88,43,14,81,44,17,85,38,6,66,65,32,92,68,31,95,72,37,94,61,29,93,59,30,90,56,27,80,51,19,83,63,20,90,57,23,86,47,15,82,46,29,92,40,12,63,50,21,100,-1,-1,-1,80,40,100,20,20,100,-1,-1,-1,-1,-1,-1,24,9,53,-1,-1,-1,35,12,65,26,11,63,.,.,.,0,0,0,62,29,87,77,39,93,67,37,92,55,19,83,70,42,88,48,13,77,35,10,74,43,9,78,44,15,83,26,6,69,45,17,83,24,9,46,23,6,49,30,9,61,24,7,58,20,4,37,27,7,60,14,0,14,67,33,91,74,37,96,73,40,95,61,26,89,68,38,88,55,22,83,66,31,91,78,40,96,71,36,94,60,24,89,69,39,93,55,21,78,57,27,87,60,22,90,66,38,91,54,23,85,50,29,76,46,16,79,49,28,93,83,33,100,58,42,100,37,21,89,50,33,83,29,0,86
"126905",32,11,67,32,10,68,39,19,79,27,8,61,30,11,47,26,3,61,53,22,83,58,36,89,51,19,91,49,18,78,74,47,95,44,0,56,61,34,89,100,40,100,67,47,80,47,24,94,60,40,100,-1,-1,-1,70,20,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,54,25,83,58,26,88,55,28,88,51,21,79,62,40,84,50,15,77,51,22,83,75,33,92,43,18,85,48,20,77,70,50,90,53,13,87,42,16,76,45,16,83,44,20,82,39,14,71,48,28,75,36,6,66,57,26,85,58,23,89,54,29,88,58,25,83,59,35,82,60,20,84,44,18,77,47,18,82,46,22,82,41,15,72,49,27,75,40,10,71,53,13,87,45,18,91,43,21,93,53,5,74,71,14,100,-1,-1,-1,25,9,62,23,7,62,33,14,75,22,8,56,11,0,29,20,2,55,51,24,81,59,29,88,56,28,87,45,18,75,65,44,85,41,10,69,29,8,67,31,8,76,32,10,76,24,6,59,34,14,63,23,3,55,23,8,46,20,6,52,27,8,55,22,10,39,29,16,49,15,2,32,58,28,85,62,28,91,59,32,90,55,24,81,65,43,86,54,17,79,57,27,84,61,28,89,58,31,89,53,23,80,64,42,85,53,16,78,48,21,81,53,21,88,48,23,86,47,18,76,55,32,80,43,12,74,37,14,80,36,14,79,49,17,96,30,15,69,-1,-1,-1,31,6,75
"126906",27,8,65,28,7,71,25,6,70,30,12,57,39,13,81,15,5,54,52,20,85,43,43,86,46,15,88,54,27,77,-1,-1,-1,63,0,88,59,35,82,-1,-1,-1,67,50,100,57,29,57,-1,-1,-1,-1,-1,-1,18,4,59,13,6,69,15,2,60,17,6,52,46,8,88,10,0,45,44,15,77,47,17,81,38,12,78,47,17,74,59,28,88,35,8,64,42,9,88,45,0,73,37,11,95,46,12,88,29,14,86,-1,-1,-1,38,12,74,39,11,77,33,8,77,40,15,70,52,22,86,28,6,62,50,18,80,57,19,86,42,13,80,53,21,78,57,26,85,49,12,77,50,16,82,56,19,85,43,11,84,53,17,79,59,30,90,37,10,78,25,0,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,16,2,53,13,2,63,17,0,61,20,5,42,31,6,63,0,0,36,38,13,73,39,15,77,34,10,76,41,12,70,61,31,93,19,3,50,21,3,60,18,1,61,20,1,66,22,6,53,39,7,74,12,2,47,24,6,45,26,5,58,23,2,43,30,11,46,30,10,60,0,0,9,50,20,77,51,19,82,43,16,78,54,21,78,70,40,84,43,13,57,46,16,81,50,17,85,38,12,80,49,18,78,54,29,89,46,9,75,43,14,73,45,17,77,38,11,76,45,15,70,66,26,87,24,7,53,56,20,80,-1,-1,-1,75,13,100,57,29,86,-1,-1,-1,-1,-1,-1
"126907",20,3,51,18,0,47,23,10,55,18,0,54,-1,-1,-1,29,0,29,34,13,62,43,29,57,21,0,64,36,14,71,57,29,57,20,0,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,12,72,48,13,79,35,11,71,38,11,70,57,28,79,33,6,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,10,64,39,10,75,30,12,64,31,8,63,44,22,70,26,4,47,43,12,75,47,10,74,39,11,73,42,11,77,56,29,78,35,8,67,33,5,64,40,0,67,33,7,65,29,3,63,38,15,77,36,7,50,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,15,3,46,21,0,36,15,8,50,13,0,55,-1,-1,-1,17,0,17,37,12,69,49,17,87,31,11,69,35,11,63,58,27,81,32,5,60,20,6,53,25,5,57,16,5,52,16,3,51,46,23,71,17,2,43,23,7,37,35,12,59,21,7,31,19,2,31,29,14,50,20,10,20,42,14,74,50,15,84,36,13,73,41,13,72,59,30,81,33,7,67,42,13,74,49,13,80,38,11,72,39,12,72,60,30,81,34,4,68,36,12,68,47,14,78,29,12,69,36,8,65,50,24,76,31,11,53,27,7,67,-1,-1,-1,29,6,71,29,12,65,-1,-1,-1,20,0,40
"126908",31,11,68,32,9,70,40,16,78,26,8,64,33,14,67,20,3,51,43,9,84,33,0,67,48,9,87,36,12,84,60,20,100,50,0,80,60,29,77,75,38,88,57,29,86,50,17,67,83,50,100,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,14,72,44,14,77,42,16,79,35,11,68,50,27,78,25,3,53,38,11,68,43,14,71,42,12,81,31,8,58,55,18,73,17,0,50,35,11,70,41,12,75,40,14,78,31,8,66,43,22,75,22,3,50,43,15,76,46,15,76,46,18,80,43,14,74,42,21,76,34,6,64,38,12,72,41,11,76,44,16,79,33,9,68,44,24,76,23,3,54,18,9,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,18,4,58,15,0,58,27,8,70,12,3,53,21,8,58,8,0,40,35,12,69,42,14,77,39,14,78,28,8,63,57,32,80,18,1,44,28,9,66,29,5,67,35,13,75,22,5,59,38,17,71,19,3,50,23,5,48,23,0,59,27,5,55,22,5,44,26,16,55,16,0,19,41,15,72,49,21,78,40,15,78,38,13,69,56,31,81,28,4,50,40,14,73,46,17,78,43,17,79,35,10,69,50,28,81,26,4,55,37,12,71,38,9,74,40,14,80,35,12,67,49,24,69,24,1,48,21,7,68,33,17,67,40,10,80,0,0,88,-1,-1,-1,-1,-1,-1
"126911",27,7,64,23,6,55,35,8,78,27,9,63,16,3,53,10,0,33,28,10,69,27,7,80,17,4,67,35,10,65,50,38,88,-1,-1,-1,100,44,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,39,13,73,43,15,77,39,13,79,39,12,71,42,17,73,23,5,48,26,11,71,38,13,75,18,9,82,21,7,57,-1,-1,-1,.,.,.,30,8,67,33,10,72,32,8,76,30,7,63,34,9,66,16,1,32,41,14,77,40,13,77,39,13,81,44,14,77,44,19,73,33,8,60,33,9,69,35,12,67,36,11,79,34,8,67,29,8,62,14,0,37,42,13,71,-1,-1,-1,67,33,83,23,8,62,-1,-1,-1,-1,-1,-1,15,3,54,2,0,37,23,2,72,17,5,53,5,0,36,6,0,24,37,12,70,45,17,77,39,13,78,34,10,66,40,16,73,14,2,36,22,4,61,24,5,63,25,5,70,22,4,57,20,3,57,6,2,26,13,5,33,13,10,36,13,5,41,13,2,29,14,5,35,10,5,10,42,15,76,47,16,81,41,14,80,41,14,73,46,20,76,28,7,52,40,13,74,46,17,80,40,12,80,39,12,70,46,21,75,21,3,45,37,13,73,38,12,71,38,15,79,39,12,73,33,10,68,29,9,53,25,6,68,38,23,69,31,6,77,21,3,67,-1,-1,-1,9,0,36
"127901",47,6,71,.,.,.,-1,-1,-1,38,0,63,-1,-1,-1,-1,-1,-1,27,16,73,-1,-1,-1,46,23,100,29,21,79,-1,-1,-1,-1,-1,-1,40,20,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,11,74,36,9,73,30,11,75,43,13,77,39,9,73,42,10,63,50,6,72,-1,-1,-1,40,0,80,57,14,71,-1,-1,-1,-1,-1,-1,31,6,70,27,4,70,23,6,69,37,8,75,31,5,65,37,5,56,37,10,73,33,8,63,28,9,72,46,12,78,41,4,76,43,10,69,30,7,69,30,5,70,21,4,67,36,10,73,27,4,69,42,8,54,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,43,0,64,.,.,.,-1,-1,-1,38,0,63,.,.,.,-1,-1,-1,38,13,76,40,10,84,33,12,79,40,14,76,37,14,71,42,10,58,23,4,65,26,3,65,15,5,65,29,4,68,28,2,63,21,0,47,25,8,52,19,7,52,26,9,60,27,12,51,15,0,38,33,0,33,45,15,80,44,13,78,38,16,82,50,16,81,50,13,77,45,10,74,38,11,75,40,9,74,30,9,77,43,14,77,39,8,74,44,11,69,35,11,71,26,10,69,30,14,71,42,11,79,39,11,71,39,6,48,21,8,46,-1,-1,-1,22,0,56,25,25,63,-1,-1,-1,-1,-1,-1
"127903",46,33,75,38,0,88,64,50,86,29,24,65,43,43,57,-1,-1,-1,58,25,88,-1,-1,-1,71,43,100,50,17,75,.,.,.,-1,-1,-1,83,67,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,16,74,41,14,79,47,21,81,38,12,69,35,18,65,46,8,76,22,6,61,-1,-1,-1,20,0,40,14,0,57,-1,-1,-1,-1,-1,-1,32,9,66,28,4,70,35,13,73,31,8,61,26,16,55,36,6,69,44,17,76,34,11,77,50,20,81,43,16,74,33,22,63,55,12,79,30,7,68,24,0,60,32,10,79,29,7,60,30,13,65,36,5,73,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,17,62,-1,-1,-1,56,33,78,8,8,50,-1,-1,-1,-1,-1,-1,39,15,73,46,17,80,44,23,80,33,10,66,36,14,68,35,4,73,27,9,62,25,4,67,32,13,71,23,6,58,24,10,45,39,10,65,9,6,27,7,7,29,11,7,46,6,3,13,25,13,25,0,0,17,49,20,79,52,25,86,56,28,83,44,17,76,37,20,63,48,6,79,44,17,78,43,17,82,50,24,85,39,13,72,38,21,67,54,10,85,33,10,64,31,6,69,37,13,67,34,11,62,23,8,62,28,6,56,45,23,71,-1,-1,-1,55,27,82,36,9,64,-1,-1,-1,40,20,40
"127904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,14,0,29,-1,-1,-1,0,0,20,20,0,40,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,12,75,42,9,81,34,9,74,43,13,77,46,23,71,36,5,63,17,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,35,9,70,41,7,76,30,8,69,36,12,73,39,16,63,34,3,58,46,13,80,45,10,81,37,8,79,53,17,84,45,23,74,45,10,67,38,11,72,37,5,76,38,17,67,39,9,79,50,21,57,32,4,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,10,71,39,9,81,32,11,70,33,9,71,48,23,68,30,2,59,19,4,59,21,3,62,16,4,59,20,4,63,25,13,60,18,0,39,8,1,29,17,8,42,13,0,31,2,0,20,9,0,55,0,0,13,41,12,77,44,11,83,34,8,77,45,14,78,46,24,75,39,6,63,42,12,78,42,11,81,36,9,76,46,14,80,54,24,78,37,6,64,33,9,68,42,6,79,31,10,69,34,10,70,16,16,42,35,4,58,34,10,62,0,0,67,50,13,63,40,0,70,-1,-1,-1,-1,-1,-1
"127905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,29,86,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,14,71,27,14,82,38,10,79,33,14,60,57,43,79,30,0,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,12,66,27,7,80,48,10,76,30,8,55,60,50,70,20,0,40,36,7,71,25,0,75,42,0,83,33,11,67,-1,-1,-1,-1,-1,-1,42,17,72,-1,-1,-1,38,8,85,38,23,54,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,18,70,29,21,86,37,13,77,33,15,58,60,50,90,29,0,57,24,6,59,15,8,69,32,0,80,21,6,44,38,25,63,17,0,33,39,26,53,-1,-1,-1,46,23,77,46,31,46,40,40,40,-1,-1,-1,33,13,69,22,11,78,37,11,78,31,10,60,50,40,70,33,0,67,30,14,71,25,13,81,32,11,74,21,11,61,56,33,78,-1,-1,-1,41,15,70,33,17,83,43,9,83,43,17,60,60,60,80,22,0,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"127906",31,8,61,-1,-1,-1,29,7,57,21,7,64,.,.,.,60,0,60,51,20,87,43,14,86,47,27,87,59,24,82,-1,-1,-1,-1,-1,-1,78,67,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,16,80,42,12,82,45,20,82,49,14,82,48,26,70,38,8,72,42,12,84,50,10,80,26,12,76,49,12,91,50,25,83,50,0,88,38,10,76,30,4,80,37,12,79,40,9,77,46,19,69,34,4,65,46,14,82,31,7,78,41,16,82,56,13,86,39,22,63,54,11,85,37,8,73,31,4,82,36,12,77,39,5,73,47,16,63,31,6,62,100,80,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,32,9,65,-1,-1,-1,31,8,62,23,8,69,.,.,.,60,0,60,45,18,79,50,15,85,49,23,83,43,16,78,55,29,76,22,6,59,28,6,68,21,3,71,25,8,70,30,4,69,48,14,61,21,0,53,30,10,46,14,7,50,30,12,45,30,12,45,50,8,58,25,0,33,54,23,86,49,16,82,57,28,89,57,22,90,45,33,69,43,14,80,48,18,81,42,13,84,48,22,83,52,15,83,49,25,73,38,9,73,38,11,77,40,7,77,35,10,79,39,11,79,38,31,54,39,4,70,58,8,75,-1,-1,-1,80,20,100,40,0,60,.,.,.,-1,-1,-1
"128901",29,6,63,33,0,75,35,13,68,25,3,63,-1,-1,-1,25,0,38,50,25,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,17,73,51,25,81,41,18,79,40,13,70,41,21,71,40,11,63,0,0,65,-1,-1,-1,0,0,83,0,0,56,.,.,.,-1,-1,-1,33,11,68,41,17,76,33,10,76,32,10,63,32,17,62,32,6,55,43,17,77,44,16,82,43,16,80,45,18,76,34,21,69,42,11,70,34,11,68,40,16,73,35,12,75,33,10,64,31,22,64,34,5,58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,4,58,20,0,70,35,8,62,19,4,56,-1,-1,-1,25,0,38,41,17,70,57,33,80,39,20,77,36,9,63,49,22,73,39,11,55,23,5,59,33,9,70,26,6,67,20,4,51,12,4,52,19,1,48,24,11,44,39,21,57,25,13,58,18,7,30,23,8,54,23,9,41,64,31,88,78,48,99,61,36,89,63,24,86,68,21,89,57,27,77,44,17,76,51,25,81,41,17,80,43,15,74,42,22,72,44,12,66,37,15,66,52,24,83,40,19,74,31,9,58,39,19,69,30,8,53,42,12,62,60,40,80,53,6,76,32,14,50,-1,-1,-1,50,0,50
"128902",31,11,61,33,0,78,53,27,87,29,10,48,10,0,50,22,11,56,50,17,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,11,73,38,10,77,45,16,84,30,10,67,28,6,60,29,9,65,30,8,55,33,0,56,33,17,75,21,7,43,-1,-1,-1,-1,-1,-1,35,10,72,38,10,76,43,14,84,31,10,68,28,5,56,24,6,62,39,12,77,37,10,77,47,12,87,37,15,73,28,6,60,36,7,79,34,11,72,37,10,78,44,15,84,30,10,67,25,6,57,29,9,66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,3,54,25,0,75,36,9,82,19,4,41,10,0,50,0,0,43,32,10,69,39,9,77,43,18,82,24,6,62,28,6,59,24,10,53,21,4,60,23,4,67,27,5,75,17,3,52,28,4,53,5,0,42,22,8,46,30,6,45,26,17,72,19,7,35,17,0,42,0,0,11,47,15,81,53,12,82,55,18,88,40,16,74,63,0,100,25,13,63,36,12,75,37,10,79,45,15,86,33,11,69,29,8,60,29,10,72,33,9,67,41,9,73,45,17,78,24,7,62,26,0,57,28,4,44,27,0,53,-1,-1,-1,40,0,80,17,0,50,.,.,.,-1,-1,-1
