DISTRICT,D200A001S15R,D200AC01S15R,D200AM01S15R,D200AR01S15R,D200AS01S15R,D200AW01S15R,D300A001S15R,D300AC01S15R,D300AM01S15R,D300AR01S15R,D300AS01S15R,D300AW01S15R,D400A001S15R,D400AC01S15R,D400AM01S15R,D400AR01S15R,D400AS01S15R,D400AW01S15R,DA00A001S15R,DA00AC01S15R,DA00AM01S15R,DA00AR01S15R,DA00AS01S15R,DA00AW01S15R,DB00A001S15R,DB00AC01S15R,DB00AM01S15R,DB00AR01S15R,DB00AS01S15R,DB00AW01S15R,DE00A001S15R,DE00AC01S15R,DE00AM01S15R,DE00AR01S15R,DE00AS01S15R,DE00AW01S15R,DF00A001S15R,DF00AC01S15R,DF00AM01S15R,DF00AR01S15R,DF00AS01S15R,DF00AW01S15R,DH00A001S15R,DH00AC01S15R,DH00AM01S15R,DH00AR01S15R,DH00AS01S15R,DH00AW01S15R,DI00A001S15R,DI00AC01S15R,DI00AM01S15R,DI00AR01S15R,DI00AS01S15R,DI00AW01S15R,DL00A001S15R,DL00AC01S15R,DL00AM01S15R,DL00AR01S15R,DL00AS01S15R,DL00AW01S15R,DM00A001S15R,DM00AC01S15R,DM00AM01S15R,DM00AR01S15R,DM00AS01S15R,DM00AW01S15R,DR00A001S15R,DR00AC01S15R,DR00AM01S15R,DR00AR01S15R,DR00AS01S15R,DR00AW01S15R,DS00A001S15R,DS00AC01S15R,DS00AM01S15R,DS00AR01S15R,DS00AS01S15R,DS00AW01S15R,DW00A001S15R,DW00AC01S15R,DW00AM01S15R,DW00AR01S15R,DW00AS01S15R,DW00AW01S15R
"007904",100,-1,.,100,-1,.,.,.,.,.,.,.,-1,.,-1,-1,-1,.,59,40,74,63,65,48,60,-1,-1,64,86,-1,53,31,70,57,56,45,60,32,69,65,65,56,56,35,71,60,61,47,69,-1,-1,-1,-1,-1,37,17,64,42,27,38,58,46,78,61,65,39,44,23,69,50,45,29,25,-1,-1,28,-1,-1,71,62,93,73,80,46
"007905",80,89,-1,89,-1,-1,88,-1,-1,88,-1,-1,.,.,.,.,.,.,72,76,75,72,69,61,60,-1,-1,-1,.,.,63,67,68,64,56,51,74,77,77,77,61,68,67,71,74,68,61,56,-1,-1,-1,-1,-1,.,38,39,-1,44,-1,-1,69,75,74,68,79,55,55,60,67,56,52,31,25,-1,-1,29,-1,-1,83,89,81,83,88,73
"007906",100,-1,.,-1,.,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,65,63,70,69,57,53,100,-1,-1,100,-1,.,62,58,68,65,57,50,69,63,74,74,55,63,62,60,68,66,55,51,-1,.,.,-1,.,.,56,45,-1,68,-1,-1,60,63,66,63,59,43,51,42,59,57,49,31,17,-1,-1,25,-1,-1,78,81,78,82,71,69
"008901",63,57,-1,65,-1,-1,63,-1,.,-1,-1,.,-1,.,.,-1,.,.,84,83,94,83,85,80,62,53,73,65,42,69,75,74,90,75,73,73,86,84,96,86,83,89,78,79,91,75,85,68,-1,.,.,-1,-1,.,53,43,-1,57,45,50,82,83,92,81,87,72,67,65,85,66,68,59,61,83,-1,61,-1,-1,91,92,99,91,89,87
"008902",87,78,-1,93,-1,88,71,-1,-1,71,-1,-1,100,-1,-1,-1,.,.,76,79,80,76,75,72,55,52,63,57,47,55,67,70,74,67,63,61,79,79,82,79,74,79,73,75,78,72,72,67,83,.,.,-1,.,-1,44,50,44,46,25,42,74,79,79,72,76,66,56,60,61,57,51,48,43,53,-1,37,50,46,85,89,86,84,87,79
"008903",71,-1,-1,80,-1,.,100,-1,.,-1,-1,-1,.,.,.,.,.,.,80,90,81,80,82,64,62,91,78,50,79,-1,73,83,72,75,72,57,81,89,82,81,80,70,76,87,79,78,80,53,.,.,.,.,.,.,34,-1,-1,41,-1,-1,79,92,80,79,84,58,59,76,61,61,67,24,48,-1,-1,50,-1,-1,89,95,89,89,88,79
"009901",-1,.,-1,.,-1,.,64,-1,.,63,-1,-1,.,.,.,.,.,.,75,73,87,75,81,64,100,-1,.,-1,.,-1,73,72,86,73,80,64,74,67,84,77,74,67,73,71,85,72,80,62,.,.,.,.,.,.,50,23,-1,55,71,41,76,80,90,73,88,60,56,50,76,58,65,35,29,-1,.,36,-1,-1,87,83,100,90,86,74
"010901",100,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,82,72,90,90,77,68,-1,-1,.,.,-1,.,76,67,100,85,68,50,83,76,75,91,77,80,73,60,-1,88,57,-1,-1,.,.,-1,.,-1,78,-1,.,100,-1,-1,81,67,100,90,77,60,71,52,90,84,52,63,52,-1,-1,89,-1,-1,85,77,89,92,86,68
"010902",72,-1,-1,65,-1,-1,100,-1,-1,100,-1,-1,.,.,.,.,.,.,82,83,84,83,80,71,100,-1,-1,100,-1,-1,74,74,80,78,72,60,84,85,87,86,75,79,76,74,79,79,67,73,83,-1,.,100,-1,-1,53,-1,.,50,-1,53,79,80,81,81,85,63,66,65,78,70,64,50,49,50,.,56,55,29,84,86,87,86,85,70
"011901",74,72,85,75,86,53,84,80,-1,83,100,75,-1,.,.,-1,.,.,71,70,78,72,75,57,64,65,73,67,64,44,63,62,74,65,67,50,74,69,80,76,76,66,64,61,73,66,68,52,79,63,-1,83,75,-1,43,36,53,47,38,37,68,71,77,68,75,50,57,52,66,58,67,41,34,30,58,37,49,14,84,87,89,84,88,70
